EmployeeID,Month,Year,Salary
123456,January,2023,5800
123456,February,2023,5800
123456,March,2023,5800
123456,April,2023,5800
123456,May,2023,5800
123456,June,2023,5800
123456,July,2023,5800
123456,August,2023,5800
123456,September,2023,5800
123456,October,2023,5800
123456,November,2023,5800
123456,December,2023,5800
234567,January,2023,5000
234567,February,2023,5000
234567,March,2023,5000
234567,April,2023,5000
234567,May,2023,5000
234567,June,2023,5000
345678,July,2023,6200
345678,August,2023,6200
345678,September,2023,6200
345678,October,2023,6200
345678,November,2023,6200
345678,December,2023,6200
456789,January,2023,4800
456789,February,2023,4800
456789,March,2023,4800
456789,April,2023,4800
456789,May,2023,4800
456789,June,2023,4800
456789,July,2023,4800
456789,August,2023,4800
456789,September,2023,4800
456789,October,2023,4800
456789,November,2023,4800
456789,December,2023,4800
567890,July,2023,5400
567890,August,2023,5400
567890,September,2023,5400
567890,October,2023,5400
567890,November,2023,5400
567890,December,2023,5400
678901,January,2023,5600
678901,February,2023,5600
678901,March,2023,5600
678901,April,2023,5600
678901,May,2023,5600
678901,June,2023,5600
678901,July,2023,5600
678901,August,2023,5600
678901,September,2023,5600
678901,October,2023,5600
678901,November,2023,5600
678901,December,2023,5600
789012,January,2024,5900
789012,February,2024,5900
789012,March,2024,5900
890123,January,2024,5700
890123,February,2024,5700
890123,March,2024,5700
901234,January,2024,6100
901234,February,2024,6100
901234,March,2024,6100
